SuperGroup,Name,AOTName,ID,Description
,Service contract manager,MSM_ContractManager,ADAXG122,"Keeps an overview of contract maintenance tasks, performs the more complex scenario's"
Service,Service delivery manager,SMAServiceDeliveryManager,ADAXG123,Reviews and enables the service order process
,Service management administrator,MSM_ServiceAdministrator,ADAXG124,"Setup and maintain throughout the module, has access to all artifacts of the module"
,Service manager,MSM_ServiceManager_S,ADAXG125,Manages and overview the day to day operations and execution
,Service managment dispatching,MSM_ServiceDispatch_S,ADAXG126,Reviews service calls and routes them to others for operational execution
,Service technician,MSM_Technician_S,ADAXG127,"The service/maintenance technician takes care of the execution of service tasks, and reports back on the status and usage"
,Service Maintenance technician,MSM_Technician,ADAXG128,"The service/maintenance technician takes care of the execution of service tasks, and reports back on the status and usage"
,Service Maintenance management dispatching,MSM_ServiceDispatch,ADAXG129,Reviews service calls and routes them to others for operational execution
,Service Maintenance manager,MSM_ServiceManager,ADAXG130,Manages and overview the day to day operations and execution
,Shipping clerk,InventShippingClerk,ADAXG131,Documents shipping operation events and responds to warehouse shipping operation inquiries
,Shop supervisor,JmgShopSupervisor,ADAXG132,"Ensures the day-to-day execution of orders/jobs so Machine operators know what to work on, who is available and can respond to the main requests from Machine operators"
,Supplier (external),VendVendor,ADAXG133,External user in supplier relation role with legal entities
,Supplier (external) - Public sector,VendVendor_PSN,ADAXG134,External user in supplier relation role with legal entities
Purchase,Supplier account manager,VendVendorAccountManager,ADAXG135,Documents supplier events and responds to supplier inquiries
,Supplier anonymous (external),VendVendorAnonymous,ADAXG136,External user access to unsolicited supplier master self service
,Supplier portal administrator (external),VendVendorPortalAdministrator,ADAXG137,External user in supplier relation role with legal entities maintaining external party access and information
,Supplier portal administrator (external) Public sector,VendVendorPortalAdministrator_PSN,ADAXG138,External user in supplier relation role with legal entities maintaining external party access and information
,Supplier prospect (external),VendVendorProspect,ADAXG139,External user in progress of obtaining supplier relation role with legal entities
,System administrator,-SYSADMIN-,ADAXG140,"Maintains the Microsoft Dynamics AX system, has access to all artifacts in the system, and  cannot be modified"
,System user,SystemUser,ADAXG141,System role for all users
Accounts,Tax accountant,FBTaxAccountant_BR,ADAXG142,Documents financial events and responds to financial inquires
,Time registration worker,JmgAdvTimeWorker,ADAXG143,Worker enabled to use advanced features for time registration
,Training manager,HcmTrainingManager,ADAXG144,"Documents training events, responds to training inquiries and records the financial consequences of training events"
,Transportation coordinator,TMSTransportationCoordinator,ADAXG145,"Enables inbound , outbound, rating, routing, and handling of transportation process"
Accounts,Treasurer,PaymTreasurer,ADAXG146,Documents treasury events and responds to treasury inquiries
Warehouse,Warehouse manager,WMSWarehouseManager,ADAXG147,"Enables and reviews processes, authorises recordings, maintains master data, and responds to inquiries within warehouse management"
,Warehouse mobile device user,WHSMobileDeviceService,ADAXG148,Used to access the Warehouse Mobile Device Portal service
Warehouse,Warehouse planner,WHSWarehousePlanner,ADAXG149,Warehouse planner
Warehouse,Warehouse worker,WMSWarehouseWorker,ADAXG150,Documents warehouse operation events and responds to warehouse operation inquiries
Warehouse,Waterspider,LeanWaterspider,ADAXG151,Responds to stock needs on the production line
,Work preparation,MSM_ServiceWorkPrep,ADAXG152,"Reviews and estimates jobs, prepares purchases, all in preparation for execution"
